Player,Team,Pos,season,target,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25
Ben Wallace,DET,C,2010,0,10.067949,5.649983,7.299081,9.688178,2.0973072,9.34343,5.0456223,2.6349943,3.819195,4.093505,3.6303992,5.847469,5.5336328,6.818376,6.029504,4.2274103,9.33424,5.0281982,6.6659613,2.6545877,5.685569,5.919882,4.831443,5.602081,4.0936985
Beno Udrih,SAC,PG,2010,0,9.9962635,5.6635427,6.8464694,9.897183,2.24208,10.555173,2.4807422,2.963041,3.9996824,4.458137,3.2841866,5.6792526,5.776927,6.667963,5.966304,4.298147,9.348606,5.195649,6.692184,2.5032496,5.7239614,5.945071,4.636049,5.5270553,4.031929
Bobby Brown,2TM,PG,2010,0,10.118083,5.9075217,9.239637,9.724527,2.1631346,10.717076,3.306548,3.5073936,3.3615305,4.3625283,2.9670088,5.475118,5.6679177,6.4983363,5.906874,4.143859,9.318399,5.2727046,6.686827,2.4957669,5.7088633,5.9862075,4.585903,5.5248947,4.0435205
Bobby Simmons,NJN,PF,2010,0,10.17485,5.953683,9.112818,9.707514,2.1410182,10.318408,3.6269505,3.3857741,4.197734,4.039723,3.1426766,5.5440173,5.683486,6.6042314,5.996064,4.1030836,9.359571,5.257561,6.763401,2.5430171,5.7053113,5.9582553,4.6729875,5.531084,4.0394597
Boris Diaw,CHA,PF,2010,0,9.940463,5.547757,6.4483438,9.884572,2.2328718,10.379008,2.8434567,2.8322825,3.1527307,4.707545,3.3489683,5.727923,5.7021675,6.6678596,5.89035,4.363853,9.299958,5.1264205,6.599061,2.5013,5.7217298,5.964269,4.6275167,5.555726,4.0581346
Brad Miller,CHI,C,2010,0,10.00146,5.649693,7.307597,9.804785,2.1912668,10.228759,3.3528001,2.98499,3.2476373,4.5239906,3.300652,5.683169,5.653568,6.6460824,5.9132075,4.2828865,9.309134,5.134572,6.6244235,2.5287802,5.7148447,5.963289,4.660869,5.560255,4.0625353
Brandon Bass,ORL,PF,2010,0,10.069833,5.699113,8.394228,9.609076,2.0629485,9.772554,5.4603844,2.8758063,2.7156866,4.3315926,3.367059,5.72971,5.4426703,6.671139,5.933379,4.203399,9.279174,5.0590086,6.5852427,2.6270664,5.670522,5.957517,4.7440896,5.6025643,4.1110344
Brandon Jennings,MIL,PG,2010,4,9.947001,5.550739,6.0921364,9.938752,2.2486713,10.591071,2.5735922,2.711614,3.630374,4.6540914,3.3913085,5.7603073,5.7779117,6.717971,5.9245887,4.3888655,9.31648,5.1738305,6.6470017,2.487091,5.7139735,5.9562397,4.604252,5.5384054,4.0445404
Brandon Roy,POR,SG,2010,3,9.9390335,5.469662,5.1548414,9.981705,2.2513998,10.417267,2.7202911,2.3802826,3.9141185,4.6326675,3.6017475,5.887188,5.8005915,6.8354383,5.9593096,4.455349,9.320116,5.139122,6.6564703,2.5063481,5.706068,5.9361506,4.6309366,5.5455403,4.049929
Brandon Rush,IND,SG,2010,0,10.045533,5.75831,7.9487147,9.803633,2.2002127,10.508099,2.9701664,3.2070322,3.5528483,4.4336743,3.1589599,5.5954914,5.6984353,6.590776,5.9294662,4.2292466,9.329454,5.201913,6.6691813,2.5089295,5.7201505,5.9644775,4.632447,5.5371428,4.0438313
