Player,Team,Pos,season,target,Age,3PA,3P%,2P%,FT%,PF,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,USG%,DBPM,BPM,VORP,SOS,NRtg,Pace,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,potw_count,potm_count
Charlie Bell,MIL,SG,2010,0,30.0,2.8,0.365,0.395,0.716,1.9,6.5,0.486,0.451,0.151,4.7,9.8,1.3,0.6,14.8,0.5,-2.4,-0.2,-0.32,1.8,91.7,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,0,0
Charlie Villanueva,DET,PF,2010,0,25.0,3.6,0.351,0.484,0.815,2.9,11.9,0.526,0.341,0.157,12.0,5.2,1.4,2.5,23.9,-0.8,0.0,0.9,0.09,-5.8,88.5,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0
Chase Budinger,HOU,SF,2010,0,21.0,3.4,0.369,0.497,0.77,1.1,8.9,0.545,0.441,0.154,8.5,9.7,1.2,0.5,19.4,-0.7,0.5,0.9,0.35,-0.4,94.0,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,0,0
Chauncey Billups,DEN,PG,2010,0,33.0,5.6,0.386,0.441,0.91,2.1,19.5,0.601,0.423,0.532,5.3,26.1,1.7,0.3,24.3,-0.8,3.7,3.6,0.06,4.3,94.8,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,0,0
Chris Andersen,DEN,PF,2010,0,31.0,0.0,0.0,0.573,0.695,2.3,5.9,0.631,0.012,0.94,16.4,2.8,1.3,6.3,10.8,1.9,1.8,1.6,0.06,4.3,94.8,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,0,0
Chris Bosh,TOR,C,2010,0,25.0,0.3,0.364,0.521,0.797,2.4,24.0,0.592,0.019,0.509,17.7,11.5,0.9,2.1,28.7,-1.2,3.6,3.6,-0.05,-1.9,93.1,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,0,0
Chris Douglas-Roberts,NJN,SF,2010,0,23.0,0.8,0.259,0.464,0.847,1.5,9.8,0.512,0.094,0.274,6.6,9.5,1.7,0.8,19.6,-0.9,-3.2,-0.5,0.19,-9.9,91.4,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,0,0
Chris Duhon,NYK,PG,2010,0,27.0,3.9,0.349,0.404,0.716,1.2,7.4,0.501,0.572,0.211,4.9,25.9,1.5,0.1,13.1,-1.3,-2.5,-0.3,-0.19,-4.0,94.0,0.509,13.0,23.5,0.2,0.526,13.3,72.1,0.207,0,0
Chris Hunter,GSW,C,2010,0,25.0,0.1,0.0,0.512,0.754,2.2,4.5,0.546,0.018,0.318,11.9,6.7,0.8,3.2,15.2,-1.0,-4.1,-0.4,0.32,-3.6,100.4,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0
Chris Kaman,LAC,C,2010,0,27.0,0.1,0.0,0.492,0.749,2.8,18.5,0.527,0.005,0.255,15.6,8.6,0.7,2.7,27.1,-1.1,-2.5,-0.3,0.34,-6.8,92.6,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,0,0
Chris Paul,NOH,PG,2010,0,24.0,2.8,0.409,0.514,0.847,2.6,18.7,0.584,0.199,0.298,6.5,45.4,2.9,0.4,22.2,1.6,6.2,3.5,0.19,-2.7,92.6,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,0,0
Chris Quinn,NJN,PG,2010,0,26.0,1.3,0.313,0.417,1.0,0.6,2.2,0.477,0.571,0.107,4.1,20.9,2.1,0.3,14.1,0.1,-2.5,0.0,0.19,-9.9,91.4,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,0,0
Chris Richard,CHI,PF,2010,0,25.0,0.0,0.0,0.517,0.636,2.8,2.1,0.547,0.0,0.379,14.7,4.4,1.8,1.4,9.6,1.0,-5.8,-0.2,0.0,-1.8,93.1,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,0,0
Chris Wilcox,DET,PF,2010,0,27.0,0.0,0.0,0.525,0.5,1.9,4.5,0.532,0.0,0.433,16.1,4.9,1.6,2.3,18.9,-0.4,-3.8,-0.2,0.09,-5.8,88.5,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0
Chuck Hayes,HOU,C,2010,0,26.0,0.0,0.0,0.489,0.545,2.7,4.4,0.5,0.0,0.201,15.0,11.4,2.1,1.8,10.8,2.0,-0.2,0.8,0.35,-0.4,94.0,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,0,0
Chucky Atkins,DET,PG,2010,0,35.0,1.8,0.301,0.417,0.926,1.3,4.0,0.477,0.465,0.172,2.7,21.6,1.4,0.0,14.4,-1.4,-4.3,-0.4,0.09,-5.8,88.5,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0
Coby Karl,2TM,SG,2010,0,26.0,1.6,0.182,0.429,0.667,2.0,4.0,0.5635,0.243,0.3175,8.9,17.9,1.3,0.6,17.0,-0.7,-5.7,-0.1,-0.0199999999999999,1.7499999999999998,95.9,0.523,13.25,23.0,0.238,0.5035000000000001,13.7,72.85,0.239,0,0
Corey Brewer,MIN,SG,2010,0,23.0,2.9,0.346,0.459,0.648,2.7,13.0,0.502,0.25,0.27,6.3,12.5,2.4,0.9,21.5,-0.1,-2.2,-0.1,0.54,-9.9,96.1,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,0,0
Corey Maggette,GSW,PF,2010,0,30.0,0.7,0.26,0.531,0.835,3.3,19.8,0.615,0.056,0.622,10.0,13.2,1.2,0.1,26.7,-1.8,0.3,1.2,0.32,-3.6,100.4,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0
Courtney Lee,NJN,SG,2010,0,24.0,3.2,0.338,0.476,0.869,1.8,12.5,0.525,0.29,0.197,6.1,9.0,2.1,0.6,17.7,-0.4,-1.4,0.4,0.19,-9.9,91.4,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,0,0
Craig Smith,LAC,PF,2010,0,26.0,0.1,0.2,0.574,0.635,2.6,7.8,0.599,0.013,0.524,13.5,11.8,1.4,1.5,21.2,0.1,-0.8,0.4,0.34,-6.8,92.6,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,0,0
D.J. Augustin,CHA,PG,2010,0,22.0,2.2,0.393,0.381,0.779,1.6,6.4,0.516,0.409,0.301,4.0,21.7,1.6,0.3,17.9,0.3,-1.1,0.3,-0.17,1.6,90.4,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,0,0
D.J. Mbenga,LAL,C,2010,0,29.0,0.0,0.0,0.466,0.474,1.1,2.1,0.471,0.0,0.184,13.7,3.4,0.7,6.2,16.0,0.8,-4.1,-0.2,0.06,5.1,92.8,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,0,0
